Target,Horizon_M,Quantile,MAE,WAPE,Bias,Pinball,Coverage,N,Model
orders,1,P50,4.94,0.1102,-4.6,2.4707,0.4412,68,lightgbm
orders,1,P90,9.83,0.2194,9.67,1.0487,0.8088,68,lightgbm
orders,2,P50,5.34,0.1335,-3.23,2.6687,0.4058,69,lightgbm
orders,2,P90,13.58,0.3396,13.57,1.3612,0.8986,69,lightgbm
orders,3,P50,5.84,0.1325,-5.33,2.9182,0.3571,70,lightgbm
orders,3,P90,7.41,0.1681,7.28,0.7918,0.8857,70,lightgbm
orders,4,P50,10.24,0.1948,-9.05,5.1211,0.3286,70,lightgbm
orders,4,P90,6.79,0.1291,6.66,0.7331,0.8,70,lightgbm
orders,5,P50,7.94,0.1697,-5.25,3.9712,0.3857,70,lightgbm
orders,5,P90,12.42,0.2654,12.35,1.2707,0.8857,70,lightgbm
orders,6,P50,5.12,0.1002,-4.3,2.5603,0.4,70,lightgbm
orders,6,P90,8.54,0.167,8.4,0.9084,0.9571,70,lightgbm
sales,1,P50,3.64,0.0806,-2.59,1.8203,0.4118,68,lightgbm
sales,1,P90,6.67,0.1475,6.54,0.7192,0.8235,68,lightgbm
sales,2,P50,2.35,0.0594,0.09,1.1751,0.4783,69,lightgbm
sales,2,P90,11.4,0.2883,11.37,1.1536,0.8551,69,lightgbm
sales,3,P50,5.12,0.1068,-3.6,2.5605,0.3623,69,lightgbm
sales,3,P90,8.75,0.1824,8.67,0.9068,0.7971,69,lightgbm
sales,4,P50,7.3,0.1426,-6.18,3.6523,0.3143,70,lightgbm
sales,4,P90,7.98,0.1558,7.84,0.8539,0.8857,70,lightgbm
sales,5,P50,3.85,0.0841,-2.28,1.9241,0.4143,70,lightgbm
sales,5,P90,9.67,0.2114,9.48,1.0442,0.8429,70,lightgbm
sales,6,P50,8.2,0.1451,-7.52,4.0999,0.3143,70,lightgbm
sales,6,P90,9.09,0.1609,8.89,0.9898,0.8,70,lightgbm
